BLUE,GREEN,RED,NIR,SWIR
1093.2,1193.3334,1184.3334,1759.0,2088.3333
778.0,954.5,904.0,2392.25,2141.0
979.8,1067.0,1425.3334,1773.0,2453.0
938.6667,972.0,1001.0,1160.0,1445.0
827.25,951.1667,2367.6667,2614.8,3930.5
1487.0,1610.6666,1635.3334,1763.0,1900.0
390.0,555.0,380.0,3016.6667,1991.0
722.0,1049.3334,913.0,3278.0,2799.6667
1443.0,1650.8,1783.0,1835.0,1806.25
903.2,1066.0,1006.8333,2182.5,1981.5
735.25,1062.5,1031.0,3238.4285,2830.3333
869.0,935.9167,1345.5,1692.5,2408.0
958.25,1104.6666,1055.5,2043.0,2023.5
1223.6,1303.0,1323.0,1447.0,1773.0
982.0,991.0,1095.5,1407.0,2389.8
749.5,1040.6666,885.5,3305.6667,2892.0
872.0,955.0,1086.0,1668.5,2198.5
437.75,567.25,439.33334,2651.0,1919.5
1265.3334,1321.3334,1452.6666,1617.3334,2390.0
903.5,1070.3334,974.875,2113.5,2112.75
1228.5,1270.0,1456.0,1640.0,2498.5
384.66666,572.0,394.33334,3096.0,2102.75
1044.8,1111.6666,1236.0,1755.3334,2516.0
840.6667,958.5,1190.6666,1768.0,2341.6667
980.4,1044.8,1397.0,1774.0,2408.0
1115.3334,1179.0,1236.0,1428.0,1750.0
837.0,928.75,990.0,1680.6666,2270.25
695.0,1018.5,880.5,3482.0,2847.0
708.25,1064.5,861.5,3324.0,2704.6667
388.0,595.0,404.0,2832.5,1961.3334
372.5,594.6667,372.66666,3136.5,1942.75
412.0,620.3333,472.0,2793.0,1965.0
755.0,939.5,825.75,2279.25,2145.8333
987.5,1140.0,1107.0,2056.6667,2163.6667
1219.3334,1358.0,1316.0,2566.6667,2169.25
2132.0,2566.0,2386.0,2836.0,2376.0
966.0,1161.3334,1091.0,2314.0,2185.0
999.2,1062.8,1333.5,1528.0,2343.25
374.0,531.0,356.0,3060.0,1933.0
1202.0,1270.0,1575.3334,1972.0,2517.0
1208.0,1254.5,1518.0,1633.5,2476.75
1238.5,1331.0,1362.5,1480.0,1604.5
351.66666,488.5,343.95,2733.1667,1656.8
1221.0,1274.6666,1454.0,1612.75,2389.6667
341.16666,516.5,316.33334,3108.0,1918.4166
802.0,882.0,939.5,1722.0,2105.0
360.3,551.75,350.25,3564.75,2005.25
910.0,1188.0,1181.0,2901.3333,2988.0
998.3333,1086.0,1075.5,1792.6666,1976.5
679.0,1005.3333,796.5,3206.5,2645.0
760.0,1080.6666,872.0,3374.0,2962.0
748.3333,1026.0,872.0,3307.0,2892.0
938.2857,999.5,974.0,1088.75,1409.8
916.5,1208.6666,1187.0,3124.5,2692.3333
1000.0,1050.0,1188.0,1604.5,2212.3333
342.25,513.5,313.75,3224.0,1975.3334
892.6667,962.25,984.5,1833.0,2273.5
677.5,1020.8333,780.5,3265.0,2574.75
772.4,1085.9,1029.0,3275.0,2708.6667
413.5,528.6667,410.66666,2472.6667,1762.0
1060.0,1185.0,1180.0,1923.6666,2308.6667
711.8,971.5,807.3333,3468.6667,2909.0
657.0,1028.0,768.0,3243.3333,2578.5
993.0,1154.6666,1110.0,2281.0,2151.2
683.6667,852.5,1783.6,2073.3333,2590.0
732.0,828.6667,877.0,2021.3334,2233.0
372.5,553.6667,354.6,3012.0,1843.0
950.3333,971.2,1221.0,1478.0,2264.3333
882.1667,1030.0,1011.75,2065.0,2265.0
1676.3334,1753.4667,1787.3334,1877.6666,1867.625
1316.0,1413.5,1422.3334,1619.0,1790.0
952.5,1083.5,996.5,1784.0,1988.6666
405.5,601.75,416.5,3135.5,1909.75
2574.0,2692.6667,2694.0,2680.5,3384.5
344.2,507.33334,354.66666,3119.3333,1910.5
981.0,1026.0,1004.5,1269.0,2167.5
920.75,947.3333,1081.3334,1239.6666,2189.5
887.8,931.6667,1068.6666,1272.0,2214.5
1274.6666,1350.0,1466.0,1882.0,2459.5
3419.0,3522.0,3605.3333,3629.5,5298.5
700.0,1028.0,902.0,3333.3333,2918.5
906.6667,1188.0,1125.3334,3078.0,2830.0
991.75,1046.5,1158.1666,1405.0,2175.5
933.0,989.3333,987.5,1144.8572,1477.2
720.0,1063.3334,919.5,3267.5,2712.55
923.5,980.6,1010.0,1348.6666,2299.0
1249.0,1339.3334,1338.0,1401.6,1751.5
918.5,1177.0,1183.0,2952.6667,2933.375
728.0,1043.0,971.5,3290.0,2677.3333
679.5,865.5,1457.0,2287.75,2470.75
939.5,971.5,966.75,1430.0,2120.0
918.2857,996.0,1075.2,1796.0,2208.0
1077.0,1064.0,1153.5,1511.0,2507.6667
843.5,924.0,1082.6666,2020.0,2277.0
1071.3334,1115.3334,1206.0,1884.0,2228.0
1470.0,1614.0,1653.5,1751.0,1825.375
366.0,531.0,363.0,3132.0,1990.4286
3779.5,3961.0,4028.25,3853.5,5243.0
1236.0,1299.2,1286.0,1323.0,1672.4
999.25,1138.6666,1084.0,1929.5,2024.0
377.0,533.0,372.0,2596.0,1764.0
1045.2,1174.5,1132.0,1702.8334,2016.875
788.5,1091.0,981.5,3196.0,2988.0
1616.0,1715.8334,1704.0,1832.0,1769.2
665.6667,747.5,1450.0,1848.0,2954.5
724.8,1050.0,869.25,3376.0,2704.6667
695.6667,1044.0,856.0,3214.0,2615.8
740.5,1111.5,913.25,3409.0,2705.75
983.8571,1035.3334,1145.3334,1336.0,2139.2
1222.0,1288.0,1340.0,1458.6666,1802.0
382.75,558.0,381.0,3002.0,1929.5
726.0,1081.3334,874.0,3415.0,2999.0
955.8333,1249.0,1259.5,2788.6667,2943.1667
761.0,1085.75,957.25,3379.0,2720.0
763.5,1093.3334,963.0,3311.5,2777.0
954.6667,1072.0,1051.3334,1994.0,2023.5
361.0,516.25,323.33334,3146.0,1907.3334
1185.6666,1321.2727,1358.0,1579.2,2223.375
361.5,521.5,332.33334,2770.0,1732.3334
1099.0,1131.3334,1355.3334,1591.0,2570.125
953.3333,1003.0,1220.5,1496.5,2058.0
1308.0,1418.0,1447.0,1546.0,1894.3334
775.5,1079.0,993.0,3251.0,2674.0
1145.0,1159.3334,1205.5,1470.5,2119.3333
1132.5,1280.9166,1343.8334,1384.0,1792.0
3711.0,3903.0,3927.0,3824.0,5310.3335
764.0,1079.0,921.0,3310.0,3023.0
965.0,1086.75,1058.5,2045.5,2024.25
916.6667,992.4583,1034.8334,1800.0,2204.0
365.0,553.5,344.16666,2677.2,1789.3334
878.5,1195.0,1131.0,2960.0,3011.375
666.0,972.0,819.0,3407.6,2551.5
1110.0,1225.0,1262.0,1914.4,2204.0
707.0,1031.25,917.0,3373.3333,2918.5
614.0,753.0,787.3333,2248.6667,2232.0
1222.0,1328.0,1424.0,1961.0,2506.5
841.5,1054.5,2170.0,2389.3333,2470.75
361.0,531.5,374.0,3266.0,1978.5
749.8333,1066.6666,908.5,3024.1667,2551.6667
3503.5,3723.3333,3806.5,3762.0,5310.3335
967.0,915.5,1024.0,1447.2,2314.5
1385.3334,1542.0,1700.0,2313.0,2497.0
989.125,1024.6666,1251.0,1577.0,2198.5
987.0,1086.0,1296.0,1809.3334,2518.0
709.0,1049.0,832.0,3246.6667,2585.5
381.16666,587.0,411.0,3166.0,2102.75
741.0,1056.0,878.3,3395.25,2977.75
709.0,1043.5,883.0,3312.2856,2707.5
726.0,1076.0,874.25,3236.0,2986.6667
1159.0,1225.0,1289.0,1305.0,1750.6666
3727.3333,4054.0,4044.5,3953.6,5132.6665
3565.0,3720.4,3823.7144,3726.6667,5265.5
647.25,941.25,749.875,3435.2,2551.5
924.25,1097.6,994.0,2045.5,2178.0
388.5,574.0,375.25,2894.0,2006.125
1676.3334,1753.4667,1787.3334,1877.6666,1867.625
2172.0,2609.0,2494.5,2780.0,2555.0
863.0,904.2,1228.0,1622.0,2319.375
1182.0,1204.6666,1332.0,1510.0,2342.0
406.0,593.5,369.33334,2801.3333,1864.0
359.0,557.0,382.5,3118.0,2052.0
993.5,975.0833,1017.6667,1439.8334,2194.5
961.3333,983.25,1057.5,1407.0,2153.75
738.3333,1076.0,839.8,3342.0,2999.0
722.6667,1062.0,896.0,3354.75,2855.5
779.0,1068.0,924.0,3214.0,2609.3333
861.5,910.0,1148.0,1667.2858,2567.0
920.1667,1001.0,971.0,1148.0,1541.75
392.5,573.5,420.66666,2921.0,2021.25
363.5,541.75,340.8,2746.6667,1715.5
