BLUE,GREEN,RED,NIR,SWIR,Landcover
2132.0,2566.0,2386.0,2836.0,2376.0,builtup
2132.0,2566.0,2386.0,2836.0,2376.0,builtup
2153.0,2605.0,2486.6667,2800.0,2518.5,builtup
2172.0,2609.0,2494.5,2780.0,2555.0,builtup
2039.0,2458.0,2409.0,2746.5,2449.3333,builtup
2135.0,2644.5,2550.0,2953.6,2391.5,builtup
2135.0,2644.5,2550.0,2953.6,2391.5,builtup
2224.8333,2755.0,2650.0,3014.0,2555.0,builtup
2425.0,3019.0,2900.0,3091.0,2562.0,builtup
2313.2,2900.0,2852.0,3048.0,2449.3333,builtup
1637.3334,1977.0,1971.3334,2468.6667,2419.0,builtup
1637.3334,1977.0,1971.3334,2468.6667,2419.0,builtup
1611.3334,2074.0,2054.5715,2485.0,2568.0,builtup
1980.0,2470.0,2440.0,2711.0,2568.0,builtup
2187.0,2697.0,2662.0,2825.3333,2599.25,builtup
665.6667,747.5,1450.0,1848.0,2954.5,builtup
1917.0,2370.0,2264.0,2617.0,2415.0,builtup
1917.0,2370.0,2264.0,2617.0,2415.0,builtup
1865.0,2261.0,2203.0,2576.0,2568.0,builtup
1978.0,2420.0,2380.6667,2646.0,2568.0,builtup
2168.0,2644.0,2618.0,2809.3333,2599.25,builtup
653.0,675.0,1507.0,1780.0,2534.0,builtup
691.3333,752.0,1719.0,2060.0,2884.3333,builtup
700.0,754.0,1772.0,2105.0,2884.3333,builtup
706.0,761.3333,1766.0,2070.0,2954.5,builtup
591.0,652.0,1488.0,1751.3334,2720.0,builtup
644.0,700.0,1716.4,1970.0,3427.0,builtup
683.6667,756.6,1814.0,2096.5,3476.5,builtup
693.375,747.0,1816.6666,2107.3333,3344.8333,builtup
582.3333,615.375,1490.0,1747.0,2720.0,builtup
614.0,652.5,1618.0,1898.0,3427.0,builtup
659.75,726.5,1823.3,2129.5,3526.0,builtup
670.5,738.75,1848.0,2168.5,3344.8333,builtup
561.0,614.0,1475.3334,1762.6666,2518.75,builtup
603.5,645.0,1635.5,1899.0,3498.0,builtup
654.5,716.3333,1827.0,2150.0,3505.375,builtup
669.0,722.3333,1831.2,2182.6667,3114.75,builtup
566.625,601.5,1458.5,1768.0,2529.625,builtup
595.0,649.6667,1635.0,1915.0,3498.0,builtup
652.6,734.0,1848.6666,2149.0,3498.0,builtup
666.0,719.0,1766.8,2150.0,3128.875,builtup
665.3333,731.0,1810.6666,2104.6667,2894.8333,builtup
611.6667,694.5,1682.0,2054.0,2647.0,builtup
645.6667,726.5,1264.5,2328.6667,2133.5,builtup
718.625,835.3333,1593.0,2284.0,2125.375,builtup
811.5,907.25,1717.3334,2126.0,2310.6667,builtup
800.0,869.0,1758.0,2147.0,2331.0,builtup
760.5,855.25,1692.0,2221.0,2260.5,builtup
726.0,838.0,1594.0,2394.1667,2260.5,builtup
620.0,699.3,1357.5,2166.0,2951.5,builtup
751.25,858.6667,1881.0,2231.3333,2926.5,builtup
770.75,890.0,1879.0,2182.0,3669.5,builtup
765.0,878.75,1910.5,2201.5,3677.0833,builtup
781.5,886.625,2036.6666,2281.0,3340.5,builtup
813.6667,931.0,1938.5,2485.3333,3340.5,builtup
694.5,865.0,1797.0,2056.0,2351.5,builtup
841.5,1054.5,2170.0,2389.3333,2470.75,builtup
679.5,865.5,1457.0,2287.75,2470.75,builtup
576.125,695.4,1367.0,2249.3333,2951.5,builtup
788.5,920.5833,2209.0,2508.5,2951.5,builtup
811.5,925.5,2252.6667,2578.0,3669.5,builtup
815.5,926.1667,2295.5,2556.5,3677.0833,builtup
820.0,953.0,2305.5,2617.0,3330.75,builtup
906.0,1012.3333,2008.6666,2514.0,3340.5,builtup
709.0,872.0,1944.4,2180.0,2369.0,builtup
854.5,1056.6666,2280.5,2517.6,2470.75,builtup
662.5,835.0,1415.3334,2391.0,2470.75,builtup
610.0,737.0,1496.0,2362.0,3189.0,builtup
788.2,954.0,2340.0,2618.0,3189.0,builtup
803.5,945.0,2358.0,2644.8,3986.25,builtup
827.25,951.1667,2367.6667,2614.8,3930.5,builtup
831.25,981.0,2429.75,2706.5,3569.5,builtup
918.25,1077.0,2092.75,2519.3333,3569.5,builtup
683.6667,852.5,1783.6,2073.3333,2590.0,builtup
835.4,977.5,2062.5,2293.3333,2544.75,builtup
708.5,872.0,1517.3334,2076.0,2566.0,builtup
822.6,950.2,2245.0,2520.6667,3189.0,builtup
776.3333,915.0,2218.0,2439.7144,3986.25,builtup
789.0,914.0,2220.0,2439.25,3986.25,builtup
821.1667,955.0,2284.0,2570.0,3565.0,builtup
859.2,972.3333,2087.3333,2536.5,3565.0,builtup
685.0,797.3333,1818.0,2041.0,2590.0,builtup
800.0,977.3333,1910.0,2057.0,2544.75,builtup
843.6667,1009.0,1843.1666,2039.5,2560.0417,builtup
822.8,937.3333,2030.1666,2491.75,2490.0,builtup
840.5,987.6667,2054.0,2395.0,2808.5,builtup
839.75,970.0,2075.0,2392.6667,2808.5,builtup
904.25,987.0,2161.0833,2432.5,2533.3333,builtup
876.6667,996.0,1982.0,2472.75,2533.3333,builtup
713.0,851.5,1910.0,2197.6,2585.75,builtup
798.3333,974.0,1972.0,2130.0,2541.75,builtup
886.0,1074.0,2008.0,2248.0,2541.75,builtup
