BLUE,GREEN,RED,NIR,SWIR,Landcover
700.0,1049.3334,883.5,3401.3333,2666.0,grass
694.6,1029.3334,874.0,3398.0,2666.0,grass
735.8333,1032.5,911.0,3295.0,2677.3333,grass
728.0,1043.0,971.5,3290.0,2677.3333,grass
778.5,1062.0,965.0,3203.6667,2721.25,grass
736.0,1044.0,956.0,3324.0,2709.0,grass
722.0,1049.3334,913.0,3278.0,2799.6667,grass
723.6,1067.5,995.0,3276.0,2799.6667,grass
739.5,1050.0,992.0,3379.3333,2743.5,grass
665.0,979.5,821.0,3459.0,2523.0,grass
675.0,1004.0,848.0,3413.0,2553.0,grass
690.0,995.5,842.5,3346.0,2594.0,grass
696.5,1012.8,875.25,3308.0,2649.0,grass
703.25,1007.5,881.6667,3370.0,2709.0,grass
684.4167,1001.0,888.0,3383.0,2709.0,grass
690.3333,1005.5,878.5,3390.5,2742.5,grass
734.5,1035.2,954.75,3337.5,2742.5,grass
755.0,1059.0,983.25,3303.6,2768.8,grass
740.0,1050.6666,936.0,3248.0,2768.8,grass
704.0,1026.0,934.0,3370.0,2868.3333,grass
685.8333,1016.5,906.8,3440.0,2868.3333,grass
692.0,1027.0,883.5,3343.0,2896.25,grass
711.0,1042.0,896.0,3338.0,2896.25,grass
698.5,1046.0,917.6667,3342.0,2829.25,grass
709.25,1058.0,920.25,3359.6667,2829.25,grass
745.0,1051.0,940.0,3200.0,2577.3333,grass
731.5,1051.3334,918.5,3235.0,2658.25,grass
760.5,1080.0,937.0,3248.0,2677.3333,grass
792.75,1092.0,920.0,3254.6667,2709.0,grass
750.1667,1056.6,948.5,3269.5,2721.25,grass
714.2,1044.0,960.0,3200.0,2799.6667,grass
740.0,1066.0,1034.0,3268.0,2799.6667,grass
757.5,1072.0,1024.0,3271.0,2824.0,grass
757.5,1072.0,1024.0,3271.0,2824.0,grass
715.0,1034.0,972.0,3200.0,2824.0,grass
718.5,1032.0,994.25,3273.3333,2747.5,grass
676.25,970.25,840.0,3408.0,2690.0,grass
686.5,1004.2,905.5,3390.5,2857.5,grass
683.875,1028.5,882.25,3369.75,2875.0,grass
700.0,1028.0,902.0,3333.3333,2918.5,grass
707.0,1031.25,917.0,3373.3333,2918.5,grass
693.75,1026.8,958.7,3293.6667,2944.7144,grass
737.0,1052.0,966.0,3244.0,2932.4285,grass
730.25,1091.0,970.5,3203.0,3036.1667,grass
739.0,1087.0,955.5,3292.0,3036.1667,grass
723.0,1054.0,935.0,3427.0,3135.3333,grass
691.0,1005.0,905.0,3480.0,3111.6667,grass
697.0,1049.0,920.5,3320.0,3082.0,grass
709.5,1054.0,921.0,3320.0,3082.0,grass
701.3333,1060.0,952.5,3385.3333,2998.0,grass
686.875,966.0,829.75,3421.2334,2714.5,grass
708.75,983.0,866.75,3343.6667,2696.0,grass
725.0,1015.0,919.3333,3282.0,2709.0,grass
756.0,1026.0,855.0,3318.0,2724.0,grass
732.0,1060.0,887.0,3243.0,2695.5,grass
740.0,1040.0,886.0,3198.0,2695.5,grass
709.3333,994.0,843.5,3181.6667,2641.6667,grass
666.3333,963.0,784.0,3190.6667,2608.3333,grass
668.0,947.3333,740.0,3378.5,2332.0,grass
558.0,901.0,635.0,3306.8,2332.0,grass
741.25,1076.5,902.5,3337.5833,2609.3333,grass
779.0,1068.0,924.0,3214.0,2609.3333,grass
773.5,1075.3334,933.0,3156.0,2667.0,grass
782.0,1093.0,914.5,3194.0,2667.0,grass
780.0,1087.0,925.0,3157.5,2708.3333,grass
736.5,1074.4,940.5,3245.0,2704.5,grass
706.0,1049.0,961.5,3213.5,2810.1667,grass
735.25,1062.5,1031.0,3238.4285,2830.3333,grass
731.0,1074.8,1069.0,3214.0,2819.0,grass
731.0,1074.8,1069.0,3214.0,2819.0,grass
700.5,1018.75,973.0,3121.25,2819.0,grass
714.3333,1042.6666,998.0,3152.8,2858.0,grass
675.0,1036.0,906.0,3292.0,2858.0,grass
682.0,1002.0,877.0,3374.0,2690.0,grass
695.0,1018.5,880.5,3482.0,2847.0,grass
688.0,1032.0,881.3333,3476.0,2868.0,grass
708.25,1050.0,902.5,3392.5,2918.5,grass
735.0,1049.5,934.0,3283.0,2918.5,grass
730.0,1042.0,951.5,3215.2,2932.4285,grass
748.6667,1096.0,959.75,3226.5,2944.7144,grass
743.0,1101.0,900.75,3209.0,3055.0,grass
713.0,1078.8334,905.75,3339.6667,3036.1667,grass
718.25,1050.0,940.5,3452.0,3135.3333,grass
702.0,1038.0,900.5,3454.0,3111.6667,grass
708.0,1054.0,936.0,3306.6667,3082.0,grass
712.3333,1040.0,918.5,3337.0,3082.0,grass
714.3333,1049.0,930.0,3342.0,2998.0,grass
711.8,971.5,807.3333,3468.6667,2909.0,grass
731.0,1005.5,884.5,3340.5,2865.0,grass
765.3333,1049.0,929.5,3255.3333,2886.75,grass
758.0,1068.0,901.0,3346.6667,2871.0,grass
772.5,1092.0,919.0,3366.0,2873.5,grass
759.5,1062.5,909.35,3305.0,2873.5,grass
719.0,1046.0,844.0,3384.0,2844.0,grass
694.0,996.0,812.5,3337.0,2767.6,grass
646.0,949.0,726.0,3446.5,2547.0,grass
580.5,910.0,661.0,3504.0,2539.0,grass
763.6667,1080.6666,914.0,3243.0,2609.3333,grass
780.0,1082.6666,926.5,3092.0,2667.0,grass
739.0,1059.2,860.0,3104.0,2667.0,grass
738.0,1043.0,914.0,3104.0,2708.3333,grass
734.325,1041.0834,920.5,3199.5,2708.3333,grass
707.5,1042.6666,940.5,3255.5,2786.0,grass
745.1667,1055.6666,1019.5,3294.2144,2810.1667,grass
734.5,1058.0,1083.3334,3215.0,2819.0,grass
734.5,1058.0,1083.3334,3215.0,2819.0,grass
698.0,996.0,1011.5,3146.0,2829.0,grass
726.8333,1039.3,1021.5,3218.6667,2858.0,grass
684.5,1034.0,952.0,3331.0,2858.0,grass
694.75,1046.0,922.5,3508.0,2864.5,grass
693.6667,1049.5,924.5,3510.0,2864.5,grass
727.6667,1048.0,938.6667,3307.3333,2897.0,grass
748.5,1050.0,946.6667,3288.0,2897.0,grass
752.0,1088.0,949.5,3183.3333,2886.5,grass
730.0,1094.0,930.0,3184.5,2953.0,grass
726.0,1076.0,874.25,3236.0,2986.6667,grass
696.75,1061.5,892.5,3343.3333,2986.6667,grass
707.5,1030.0,906.75,3391.0,3152.6667,grass
665.5,1031.5,923.1667,3357.3333,3152.6667,grass
678.0,1041.0,910.1667,3296.0,3049.6667,grass
692.0,1032.0,901.3333,3312.5,3049.6667,grass
727.5,987.0,820.5,3439.0,2887.0,grass
742.5,1032.0,872.6667,3268.0,2909.0,grass
755.375,1072.0,901.5,3356.5,2902.5,grass
754.1667,1065.0,902.5,3427.3333,2902.5,grass
757.6,1063.6666,908.0,3370.4,2873.5,grass
744.3333,1089.6666,892.0,3351.8,2885.75,grass
722.6667,1062.0,896.0,3354.75,2855.5,grass
708.75,1043.0,864.4167,3413.0,2805.8,grass
657.0,998.0,771.0,3508.8,2555.0,grass
624.25,936.25,682.5,3501.3333,2547.0,grass
647.25,941.25,749.875,3435.2,2551.5,grass
716.5,994.5,824.6667,3399.3333,2909.0,grass
736.75,1051.0,874.0,3308.0,2931.0,grass
741.0,1056.0,878.3,3395.25,2977.75,grass
726.0,1081.3334,874.0,3415.0,2999.0,grass
760.0,1080.6666,872.0,3374.0,2962.0,grass
763.3333,1083.0,919.6667,3341.0,2946.375,grass
793.0,1109.3334,959.6,3257.3333,2996.5,grass
780.3,1129.0,1003.25,3286.0,2975.25,grass
724.5,1059.0,922.25,3396.6667,2747.0,grass
685.75,987.5,817.0,3499.1667,2728.5,grass
666.0,972.0,819.0,3407.6,2551.5,grass
704.75,977.0,808.0,3429.0,2884.5,grass
727.0,1035.0,821.0,3371.3333,2931.0,grass
728.8,1068.5,870.3333,3305.0,2977.75,grass
738.3333,1076.0,839.8,3342.0,2999.0,grass
764.25,1070.0,891.0,3280.0,2946.375,grass
789.25,1088.0,934.5,3224.0,2930.75,grass
855.5,1154.0,1111.3334,3011.0,2975.25,grass
916.5,1210.0,1173.3334,2951.3333,2954.0,grass
889.0,1187.0,1136.0,3063.5,2747.0,grass
806.75,1108.0,980.5,3290.0,2728.5,grass
666.0,972.0,819.0,3407.6,2551.5,grass
689.5,983.5,820.5,3469.2,2892.0,grass
711.0,995.0,822.6667,3464.3333,2892.0,grass
747.0,1061.0,850.0,3320.0,3023.0,grass
754.75,1075.3334,901.3333,3273.3333,3023.0,grass
782.5,1084.0,924.8333,3247.0,3006.0,grass
789.5,1116.0,988.625,3149.0,3006.0,grass
901.0,1177.0,1221.3334,2886.8,2932.0,grass
968.5,1252.0,1289.0,2774.0,2943.1667,grass
1003.0,1274.0,1309.75,2840.0,2705.1667,grass
916.5,1208.6666,1187.0,3124.5,2692.3333,grass
681.0,1011.5,818.3333,3430.6667,2598.5,grass
689.5,983.5,820.5,3469.2,2892.0,grass
749.5,1040.6666,885.5,3305.6667,2892.0,grass
764.0,1079.0,921.0,3310.0,3023.0,grass
761.5,1070.6666,965.0,3236.5,3023.0,grass
790.25,1108.3334,1042.0,3141.0,3006.0,grass
828.5,1158.0,1076.0,2979.5,3014.0,grass
928.125,1200.0,1238.6666,2795.25,2943.1667,grass
955.8333,1249.0,1259.5,2788.6667,2943.1667,grass
1000.0,1297.3334,1334.0,2740.6667,2705.1667,grass
910.0,1204.6666,1224.6666,2763.75,2705.1667,grass
679.6667,1031.3334,881.0,3505.5,2613.0,grass
748.3333,1026.0,872.0,3307.0,2892.0,grass
749.5,1040.6666,885.5,3305.6667,2892.0,grass
769.0,1099.3334,964.0,3200.0,2979.5,grass
787.25,1073.0,989.75,3168.0,2994.0,grass
816.75,1134.0,1096.0,2989.2,3006.0,grass
899.5,1192.0,1149.0,2827.0,3020.5,grass
949.0,1229.0,1188.0,2774.0,2958.1428,grass
911.3,1224.5,1156.0,2855.5,2958.1428,grass
978.25,1274.0,1295.0,2762.3333,2724.5,grass
880.6,1130.5,1135.0,2494.5,2724.5,grass
674.0,1007.0,825.0,3534.0,2664.8,grass
749.5,1079.0,970.0,3188.0,2956.0,grass
785.0,1118.0,971.8333,3226.0,2981.5,grass
782.5,1108.0,987.75,3204.0,2979.5,grass
802.0,1111.0,982.0,3169.3333,2994.0,grass
850.125,1159.5,1121.5,2995.0,3006.0,grass
918.5,1203.5,1202.0,2791.0,3020.5,grass
944.5833,1209.3334,1189.0,2803.3333,2958.1428,grass
917.6667,1204.0,1154.0,2983.75,2958.1428,grass
954.5,1243.3334,1271.3334,2901.5,2724.5,grass
861.75,1141.6,1112.6666,2674.25,2724.5,grass
683.75,1003.0,860.5,3608.1667,2664.8,grass
819.0,1130.0,1046.0,3144.0,2981.5,grass
814.0,1121.3334,1017.0,3188.0,2981.5,grass
782.5,1108.0,987.75,3204.0,2979.5,grass
803.375,1096.0,973.5,3206.6667,2902.0,grass
856.0,1112.0,1078.0,3108.5,2988.0,grass
910.0,1188.0,1181.0,2901.3333,2988.0,grass
920.5,1198.0,1212.0,2900.0,3026.0,grass
900.25,1190.0,1174.0,2982.0,3026.0,grass
906.6667,1188.0,1125.3334,3078.0,2830.0,grass
835.5,1120.25,1032.25,3060.0,2822.0,grass
753.0,1072.6666,981.0,3480.6667,2694.6667,grass
858.0,1139.0,1081.0,3110.0,2954.5,grass
828.5,1126.6666,964.0,3256.3333,2954.5,grass
784.75,1131.25,966.2,3271.75,2902.0,grass
803.375,1096.0,973.5,3206.6667,2902.0,grass
788.5,1091.0,981.5,3196.0,2988.0,grass
862.0,1158.0,1127.0,2993.9167,2988.0,grass
878.5,1195.0,1131.0,2960.0,3011.375,grass
889.5,1178.0,1130.0,3014.0,2996.75,grass
836.0,1142.0,1027.3334,3110.0,2814.0,grass
796.5,1109.75,920.3333,3247.625,2822.0,grass
781.0,1115.0,1002.5,3330.0,2694.6667,grass
827.0,1116.0,1046.0,3244.0,2954.5,grass
763.0,1083.0,984.0,3410.3333,2954.5,grass
756.75,1110.8,939.1667,3298.0,2902.0,grass
758.0,1084.0,910.8333,3316.0,2902.0,grass
788.5,1091.0,981.5,3196.0,2988.0,grass
862.0,1151.5,1166.0,3009.5,2933.375,grass
894.0,1190.0,1154.0,3009.0,2994.0,grass
884.0,1172.6666,1129.3334,3124.0,2994.0,grass
819.0,1094.0,999.6667,3194.4,2740.0,grass
757.5,1070.0,904.0,3247.0,2752.0,grass
759.1667,1076.6666,983.0,3374.0,2741.0,grass
768.0,1074.0,994.0,3340.25,2959.3333,grass
778.0,1066.0,954.0,3416.6667,2931.5,grass
799.4167,1059.3334,946.5,3295.0,2889.0,grass
792.5,1083.0,919.0,3286.0,2889.0,grass
786.25,1082.0,982.0,3155.0,2933.375,grass
918.5,1177.0,1183.0,2952.6667,2933.375,grass
955.25,1226.0,1232.0,2857.0,2994.0,grass
910.0,1200.0,1178.0,2930.0,2994.0,grass
818.5,1073.3334,1014.8,3145.3333,2740.0,grass
791.0,1064.0,901.3333,3129.3333,2740.0,grass
710.0,1013.0,890.3333,3510.5,2741.0,grass
743.0,1030.0,912.8333,3374.5,2945.4167,grass
775.5,1037.5,917.0,3318.5,2945.4167,grass
788.5,1038.0,916.3333,3246.0,2889.0,grass
802.5,1069.0,919.2,3306.6667,2889.0,grass
829.5,1096.0,1033.6666,3126.0,2933.375,grass
918.5,1177.0,1183.0,2952.6667,2933.375,grass
965.25,1203.0,1257.0,2693.75,2817.7917,grass
