BLUE,GREEN,RED,NIR,SWIR,Landcover
403.91666,553.25,394.75,2806.5,1919.5,trees
403.0,546.0,398.75,2730.0,1906.5834,trees
418.33334,563.0,409.0,2886.0,1899.5,trees
398.0,548.0,378.5,2828.5,2042.75,trees
404.0,532.25,369.66666,2752.0,1920.8334,trees
399.75,544.5,385.0,2872.0,1940.0,trees
411.25,565.0,369.0,3040.0,1980.5,trees
403.66666,564.5,372.0,2940.0,1980.5,trees
391.0,578.0,389.33334,3024.0,1926.0,trees
396.0,559.0,378.2,3016.0,1926.0,trees
404.5,562.75,371.83334,3023.6667,1906.5834,trees
399.0,560.5,385.33334,3200.0,1899.5,trees
410.0,582.3333,381.0,3186.0,2042.75,trees
402.0,549.0,389.66666,2834.0,1845.75,trees
410.0,525.0,371.0,2906.0,1879.6666,trees
388.75,508.33334,363.33334,2996.0,1879.6666,trees
405.0,544.3333,363.66666,2953.0,1897.0,trees
411.0,558.75,380.0,3030.0,1897.0,trees
392.75,566.75,379.6,3120.0,1983.25,trees
391.0,553.0,380.0,3214.2,1990.0,trees
405.5,574.3333,377.33334,3233.5,2074.8,trees
397.25,576.5,379.0,3274.6667,2074.8,trees
386.66666,518.5,365.0,2953.3333,1879.6666,trees
370.66666,516.6667,350.25,3056.5,1888.9584,trees
376.5,525.0,340.5,3141.0,1897.0,trees
381.66666,542.25,358.5,3232.0,1897.0,trees
382.75,555.5,376.625,3251.3333,1990.0,trees
363.66666,541.0,358.33334,3322.0,1990.0,trees
387.0,556.3333,355.0,3322.0,2074.8,trees
397.5,590.5,378.75,3433.5,2074.8,trees
397.2,597.5,390.0,3441.0,2087.6667,trees
380.2,530.6667,346.5,3190.4,1942.3334,trees
377.66666,525.0,352.0,3175.0,1956.5,trees
366.0,531.0,363.0,3132.0,1990.4286,trees
373.66666,540.6667,347.4,3248.0,1990.4286,trees
386.66666,562.8333,375.0,3396.0,2110.5,trees
382.6,593.0833,401.0,3423.3333,2110.5,trees
392.5,589.6667,395.33334,3427.5,2056.5,trees
418.66666,599.5,470.33334,2615.3333,2048.5,trees
385.25,556.0,405.0,2557.6667,2052.5,trees
432.5,633.6667,444.6,2683.3333,2006.25,trees
418.6,596.5,444.0,2602.0,1993.0,trees
424.5,627.5,432.0,2885.0,2006.25,trees
443.5,621.5,459.33334,2712.0,2011.0,trees
436.33334,637.3333,478.5,2871.5,2014.9166,trees
412.33334,560.0,411.33334,2754.0,2011.3334,trees
390.5,593.0,394.5,2774.0,2011.3334,trees
397.0,606.5,388.0,2981.3333,1969.0,trees
371.5,577.6667,349.0,2954.0,1972.0,trees
342.0,508.33334,308.2,2998.0,1947.3334,trees
349.0,506.0,313.0,3147.0,1947.3334,trees
342.25,513.5,313.75,3224.0,1975.3334,trees
350.0,542.0,323.0,3277.0,1975.3334,trees
364.25,562.5,381.0,2918.0,2006.4,trees
350.5,517.75,334.25,3076.3333,1916.5,trees
361.0,549.5,345.66666,3008.0,1916.5,trees
360.5,554.0,355.0,2742.0,1888.0,trees
378.0,548.6667,347.0,2985.0,1888.0,trees
353.66666,547.5,355.33334,3107.0,1962.0,trees
383.0,547.0,366.0,2978.0,1962.0,trees
388.5,574.0,375.25,2894.0,2006.125,trees
